Date,Collected?,Depth_type,Depth_(cm),# Victorian Alpine Resorts - Daily Snow Depth Records - Lake Mountain 1993-2023. CC-BY Alpine Resorts Victoria
5/6/1993,Yes,Natural,0,
6/6/1993,Yes,Natural,0,
7/6/1993,Yes,Natural,0,
8/6/1993,Yes,Natural,0,
9/6/1993,Yes,Natural,0,
10/6/1993,Yes,Natural,0,
11/6/1993,Yes,Natural,0,
12/6/1993,Yes,Natural,0,
13/6/1993,Yes,Natural,25,
14/6/1993,Yes,Natural,40,
15/6/1993,Yes,Natural,35,
16/6/1993,Yes,Natural,25,
17/6/1993,Yes,Natural,25,
18/6/1993,Yes,Natural,25,
19/6/1993,Yes,Natural,10,
20/6/1993,Yes,Natural,10,
21/6/1993,Yes,Natural,8,
22/6/1993,Yes,Natural,7,
23/6/1993,Yes,Natural,7,
24/6/1993,Yes,Natural,12,
25/6/1993,Yes,Natural,10,
26/6/1993,Yes,Natural,8,
27/6/1993,Yes,Natural,8,
28/6/1993,Yes,Natural,8,
29/6/1993,Yes,Natural,8,
30/6/1993,Yes,Natural,5,
1/7/1993,Yes,Natural,5,
2/7/1993,Yes,Natural,5,
3/7/1993,Yes,Natural,5,
4/7/1993,Yes,Natural,5,
5/7/1993,Yes,Natural,0,
6/7/1993,Yes,Natural,0,
7/7/1993,Yes,Natural,0,
8/7/1993,Yes,Natural,0,
9/7/1993,Yes,Natural,0,
10/7/1993,Yes,Natural,5,
11/7/1993,Yes,Natural,3,
12/7/1993,Yes,Natural,3,
13/7/1993,Yes,Natural,1,
14/7/1993,Yes,Natural,1,
15/7/1993,Yes,Natural,0,
16/7/1993,Yes,Natural,0,
17/7/1993,Yes,Natural,0,
18/7/1993,Yes,Natural,0,
19/7/1993,Yes,Natural,0,
20/7/1993,Yes,Natural,0,
21/7/1993,Yes,Natural,0,
22/7/1993,Yes,Natural,0,
23/7/1993,Yes,Natural,0,
24/7/1993,Yes,Natural,0,
25/7/1993,Yes,Natural,0,
26/7/1993,Yes,Natural,0,
27/7/1993,Yes,Natural,2,
28/7/1993,Yes,Natural,2,
29/7/1993,Yes,Natural,0,
30/7/1993,Yes,Natural,0,
31/7/1993,Yes,Natural,0,
1/8/1993,Yes,Natural,0,
2/8/1993,Yes,Natural,6,
3/8/1993,Yes,Natural,10,
4/8/1993,Yes,Natural,24,
5/8/1993,Yes,Natural,22,
6/8/1993,Yes,Natural,22,
7/8/1993,Yes,Natural,22,
8/8/1993,Yes,Natural,22,
9/8/1993,Yes,Natural,20,
10/8/1993,Yes,Natural,6,
11/8/1993,Yes,Natural,10,
12/8/1993,Yes,Natural,10,
13/8/1993,Yes,Natural,8,
14/8/1993,Yes,Natural,5,
15/8/1993,Yes,Natural,4,
16/8/1993,Yes,Natural,0,
17/8/1993,Yes,Natural,3,
18/8/1993,Yes,Natural,0,
19/8/1993,Yes,Natural,0,
20/8/1993,Yes,Natural,0,
21/8/1993,Yes,Natural,0,
22/8/1993,Yes,Natural,0,
23/8/1993,Yes,Natural,0,
24/8/1993,Yes,Natural,0,
25/8/1993,Yes,Natural,0,
26/8/1993,Yes,Natural,0,
27/8/1993,Yes,Natural,0,
28/8/1993,Yes,Natural,0,
29/8/1993,Yes,Natural,0,
30/8/1993,Yes,Natural,0,
31/8/1993,Yes,Natural,0,
1/9/1993,Yes,Natural,0,
2/9/1993,Yes,Natural,0,
3/9/1993,Yes,Natural,5,
4/9/1993,Yes,Natural,0,
5/9/1993,Yes,Natural,0,
6/9/1993,Yes,Natural,0,
7/9/1993,Yes,Natural,0,
8/9/1993,Yes,Natural,0,
