Product code,Bureau of Meteorology station number,Year,Month,max_t_(C),Quality
IDCJAC0002,083024,1985,03,15.9,Y
IDCJAC0002,083024,1985,04,10.8,Y
IDCJAC0002,083024,1985,05,5.7,Y
IDCJAC0002,083024,1985,06,1.1,Y
IDCJAC0002,083024,1985,07,2,Y
IDCJAC0002,083024,1985,08,1.4,Y
IDCJAC0002,083024,1985,09,5.4,Y
IDCJAC0002,083024,1985,10,9.9,Y
IDCJAC0002,083024,1985,11,12.3,Y
IDCJAC0002,083024,1985,12,11.5,Y
IDCJAC0002,083024,1986,01,14.6,Y
IDCJAC0002,083024,1986,02,15.7,Y
IDCJAC0002,083024,1986,03,18,Y
IDCJAC0002,083024,1986,04,9.7,Y
IDCJAC0002,083024,1986,05,6.9,Y
IDCJAC0002,083024,1986,06,2.5,Y
IDCJAC0002,083024,1986,07,0.5,Y
IDCJAC0002,083024,1986,08,2.2,Y
IDCJAC0002,083024,1986,09,3.7,Y
IDCJAC0002,083024,1986,10,5.1,Y
IDCJAC0002,083024,1986,11,11.8,Y
IDCJAC0002,083024,1986,12,12.5,Y
IDCJAC0002,083024,1987,01,14.5,Y
IDCJAC0002,083024,1987,02,16.9,Y
IDCJAC0002,083024,1987,03,11.8,Y
IDCJAC0002,083024,1987,04,11.1,Y
IDCJAC0002,083024,1987,05,5.4,Y
IDCJAC0002,083024,1987,06,4.1,Y
IDCJAC0002,083024,1987,07,0.8,Y
IDCJAC0002,083024,1987,08,2.7,Y
IDCJAC0002,083024,1987,09,5.3,Y
IDCJAC0002,083024,1987,10,7.9,Y
IDCJAC0002,083024,1987,11,11.2,Y
IDCJAC0002,083024,1987,12,14.7,Y
IDCJAC0002,083024,1988,01,19.3,Y
IDCJAC0002,083024,1988,02,16.6,Y
IDCJAC0002,083024,1988,03,14.4,Y
IDCJAC0002,083024,1988,04,11,Y
IDCJAC0002,083024,1988,05,6.8,Y
IDCJAC0002,083024,1988,06,3.1,Y
IDCJAC0002,083024,1988,07,3,Y
IDCJAC0002,083024,1988,08,1.7,Y
IDCJAC0002,083024,1988,09,6.1,Y
IDCJAC0002,083024,1988,10,7.5,Y
IDCJAC0002,083024,1988,11,10.8,Y
IDCJAC0002,083024,1988,12,15.1,Y
IDCJAC0002,083024,1989,01,15,Y
IDCJAC0002,083024,1989,02,16.5,Y
IDCJAC0002,083024,1989,03,15,Y
IDCJAC0002,083024,1989,04,10.8,Y
IDCJAC0002,083024,1989,05,6.7,Y
IDCJAC0002,083024,1989,06,2.3,Y
IDCJAC0002,083024,1989,07,0.6,Y
IDCJAC0002,083024,1989,08,0,Y
IDCJAC0002,083024,1989,09,4.5,Y
IDCJAC0002,083024,1989,10,6.4,Y
IDCJAC0002,083024,1989,11,13.1,Y
IDCJAC0002,083024,1989,12,14.2,Y
IDCJAC0002,083024,1990,01,17.7,Y
IDCJAC0002,083024,1990,02,15.4,Y
IDCJAC0002,083024,1990,03,15.5,Y
IDCJAC0002,083024,1990,04,10.1,Y
IDCJAC0002,083024,1990,05,7.5,Y
IDCJAC0002,083024,1990,06,2.3,Y
IDCJAC0002,083024,1990,07,0.6,Y
IDCJAC0002,083024,1990,08,0.4,Y
IDCJAC0002,083024,1990,09,4.1,Y
IDCJAC0002,083024,1990,10,9.2,Y
IDCJAC0002,083024,1990,11,12.1,Y
IDCJAC0002,083024,1990,12,15.5,Y
IDCJAC0002,083024,1991,01,17.3,Y
IDCJAC0002,083024,1991,02,19.1,Y
IDCJAC0002,083024,1991,03,14.4,Y
IDCJAC0002,083024,1991,04,9.9,Y
IDCJAC0002,083024,1991,05,6.9,Y
IDCJAC0002,083024,1991,06,4,Y
IDCJAC0002,083024,1991,07,0.5,Y
IDCJAC0002,083024,1991,08,-0.4,Y
IDCJAC0002,083024,1991,09,3.4,Y
IDCJAC0002,083024,1991,10,10.4,Y
IDCJAC0002,083024,1991,11,11,Y
IDCJAC0002,083024,1992,01,14,Y
IDCJAC0002,083024,1992,02,15.5,Y
IDCJAC0002,083024,1992,03,15,Y
IDCJAC0002,083024,1992,04,9.4,Y
IDCJAC0002,083024,1992,05,6,Y
IDCJAC0002,083024,1992,06,3.4,Y
IDCJAC0002,083024,1992,07,1.4,Y
IDCJAC0002,083024,1993,01,19.1,Y
IDCJAC0002,083024,1993,02,16.5,Y
IDCJAC0002,083024,1993,03,12.7,Y
IDCJAC0002,083024,1993,04,11.3,Y
IDCJAC0002,083024,1993,05,6,Y
IDCJAC0002,083024,1993,06,2.5,Y
IDCJAC0002,083024,1993,07,3.5,Y
IDCJAC0002,083024,1993,08,2.9,Y
IDCJAC0002,083024,1993,09,4.6,Y
IDCJAC0002,083024,1993,10,7.7,Y
IDCJAC0002,083024,1993,11,11,Y
IDCJAC0002,083024,1993,12,13,Y
IDCJAC0002,083024,1994,01,14.6,Y
IDCJAC0002,083024,1994,02,15.5,Y
IDCJAC0002,083024,1994,03,11.1,Y
IDCJAC0002,083024,1994,04,9.5,Y
IDCJAC0002,083024,1994,05,5,Y
IDCJAC0002,083024,1994,06,3.8,Y
IDCJAC0002,083024,1994,07,2.4,Y
IDCJAC0002,083024,1994,08,2.4,Y
IDCJAC0002,083024,1994,09,3.7,Y
IDCJAC0002,083024,1994,10,9.7,Y
IDCJAC0002,083024,1994,11,11.8,Y
IDCJAC0002,083024,1994,12,19.6,Y
IDCJAC0002,083024,1995,01,17.2,Y
IDCJAC0002,083024,1995,02,16.4,Y
IDCJAC0002,083024,1995,03,11.7,Y
IDCJAC0002,083024,1995,04,5.9,Y
IDCJAC0002,083024,1995,05,9.7,Y
IDCJAC0002,083024,1995,06,5.2,Y
IDCJAC0002,083024,1995,07,0.8,Y
IDCJAC0002,083024,1995,08,3.6,Y
IDCJAC0002,083024,1995,09,3.4,Y
IDCJAC0002,083024,1995,10,7.6,Y
IDCJAC0002,083024,1995,11,10.3,Y
IDCJAC0002,083024,1995,12,12.2,Y
IDCJAC0002,083024,1996,01,14.3,Y
IDCJAC0002,083024,1996,02,13.2,Y
IDCJAC0002,083024,1996,03,11.8,Y
IDCJAC0002,083024,1996,04,5.1,Y
IDCJAC0002,083024,1996,05,6.2,Y
IDCJAC0002,083024,1996,06,2,Y
IDCJAC0002,083024,1996,07,2.4,Y
IDCJAC0002,083024,1996,08,2,Y
IDCJAC0002,083024,1996,09,4.3,Y
IDCJAC0002,083024,1996,10,9.6,Y
IDCJAC0002,083024,1996,11,9,Y
IDCJAC0002,083024,1996,12,12.5,Y
IDCJAC0002,083024,1997,02,19.6,Y
IDCJAC0002,083024,1997,03,11.4,Y
IDCJAC0002,083024,1997,04,9.8,Y
IDCJAC0002,083024,1997,05,5.5,Y
IDCJAC0002,083024,1997,06,3.1,Y
IDCJAC0002,083024,1997,07,1.5,Y
IDCJAC0002,083024,1997,08,4.5,Y
IDCJAC0002,083024,1997,09,5.2,Y
IDCJAC0002,083024,1997,10,9,Y
IDCJAC0002,083024,1997,11,11.6,Y
IDCJAC0002,083024,1997,12,16.2,Y
IDCJAC0002,083024,1998,01,18.8,Y
IDCJAC0002,083024,1998,02,18.2,Y
IDCJAC0002,083024,1998,03,15.4,Y
IDCJAC0002,083024,1998,04,9.8,Y
IDCJAC0002,083024,1998,05,6.6,Y
IDCJAC0002,083024,1998,06,3.2,Y
IDCJAC0002,083024,1998,07,1.1,Y
IDCJAC0002,083024,1998,08,4.3,Y
IDCJAC0002,083024,1998,09,6,Y
IDCJAC0002,083024,1998,10,6.5,Y
IDCJAC0002,083024,1998,11,11,Y
IDCJAC0002,083024,1998,12,16.6,Y
IDCJAC0002,083024,1999,01,19.9,Y
IDCJAC0002,083024,1999,02,17.1,Y
IDCJAC0002,083024,1999,03,13.8,Y
IDCJAC0002,083024,1999,04,9.4,Y
IDCJAC0002,083024,1999,05,7.8,Y
IDCJAC0002,083024,1999,06,4.9,Y
IDCJAC0002,083024,1999,07,3,Y
IDCJAC0002,083024,1999,08,3.9,Y
IDCJAC0002,083024,1999,09,6.5,Y
IDCJAC0002,083024,1999,10,10.5,Y
IDCJAC0002,083024,1999,12,13.7,Y
IDCJAC0002,083024,2000,01,13.6,Y
IDCJAC0002,083024,2000,02,19.6,Y
IDCJAC0002,083024,2000,03,15,Y
IDCJAC0002,083024,2000,04,11.7,Y
IDCJAC0002,083024,2000,05,4.4,Y
IDCJAC0002,083024,2000,06,2.3,Y
IDCJAC0002,083024,2000,07,1.3,Y
IDCJAC0002,083024,2000,08,1.9,Y
IDCJAC0002,083024,2000,09,4.3,Y
IDCJAC0002,083024,2000,10,7.1,Y
IDCJAC0002,083024,2000,11,13.1,Y
IDCJAC0002,083024,2001,03,13.2,Y
IDCJAC0002,083024,2001,04,10.8,Y
IDCJAC0002,083024,2001,05,6,Y
IDCJAC0002,083024,2001,06,4.3,Y
IDCJAC0002,083024,2001,07,3.8,Y
IDCJAC0002,083024,2001,08,1.7,Y
IDCJAC0002,083024,2001,09,7.4,Y
IDCJAC0002,083024,2001,10,5.1,Y
IDCJAC0002,083024,2001,11,10.4,Y
IDCJAC0002,083024,2001,12,13,Y
IDCJAC0002,083024,2002,01,15.7,Y
IDCJAC0002,083024,2002,02,14.4,Y
IDCJAC0002,083024,2002,03,15,Y
IDCJAC0002,083024,2002,04,12.1,Y
IDCJAC0002,083024,2002,05,6.2,Y
IDCJAC0002,083024,2002,06,2.9,Y
IDCJAC0002,083024,2002,07,2.2,Y
IDCJAC0002,083024,2002,08,2.6,Y
IDCJAC0002,083024,2002,09,4.8,Y
IDCJAC0002,083024,2002,10,8.5,Y
IDCJAC0002,083024,2002,11,14.6,Y
IDCJAC0002,083024,2002,12,16,Y
IDCJAC0002,083024,2003,01,19.2,Y
IDCJAC0002,083024,2003,02,19.1,Y
IDCJAC0002,083024,2003,03,13.4,Y
IDCJAC0002,083024,2003,04,10.1,Y
IDCJAC0002,083024,2003,05,7.8,Y
IDCJAC0002,083024,2003,06,3.1,Y
IDCJAC0002,083024,2003,07,1.6,Y
IDCJAC0002,083024,2003,08,1,Y
IDCJAC0002,083024,2003,09,3.2,Y
IDCJAC0002,083024,2003,10,4.6,Y
IDCJAC0002,083024,2003,11,13.4,Y
IDCJAC0002,083024,2003,12,16,Y
IDCJAC0002,083024,2004,01,15.4,Y
IDCJAC0002,083024,2004,02,19,Y
IDCJAC0002,083024,2004,03,16.7,Y
IDCJAC0002,083024,2004,04,11.3,Y
IDCJAC0002,083024,2004,05,4.5,Y
IDCJAC0002,083024,2004,06,1.8,Y
IDCJAC0002,083024,2004,07,-0.1,Y
IDCJAC0002,083024,2004,08,1.7,Y
IDCJAC0002,083024,2004,09,3.9,Y
IDCJAC0002,083024,2004,10,10,Y
IDCJAC0002,083024,2004,11,11.7,Y
IDCJAC0002,083024,2004,12,14.2,Y
IDCJAC0002,083024,2005,01,16.7,Y
IDCJAC0002,083024,2005,02,14.8,Y
IDCJAC0002,083024,2005,03,13.2,Y
IDCJAC0002,083024,2005,04,13.2,Y
IDCJAC0002,083024,2005,05,8.6,Y
IDCJAC0002,083024,2005,06,7.7,Y
IDCJAC0002,083024,2005,07,1.8,Y
IDCJAC0002,083024,2005,09,5.1,Y
IDCJAC0002,083024,2005,10,9,Y
IDCJAC0002,083024,2005,11,13.7,Y
IDCJAC0002,083024,2005,12,14.8,Y
IDCJAC0002,083024,2006,01,20.6,Y
IDCJAC0002,083024,2006,02,18.9,Y
IDCJAC0002,083024,2006,03,16.6,Y
IDCJAC0002,083024,2006,04,5.8,Y
IDCJAC0002,083024,2006,05,4.6,Y
IDCJAC0002,083024,2006,06,2.4,Y
IDCJAC0002,083024,2006,07,1.8,Y
IDCJAC0002,083024,2006,08,3.6,Y
IDCJAC0002,083024,2006,09,7.4,Y
IDCJAC0002,083024,2006,10,11.8,Y
IDCJAC0002,083024,2006,11,14.7,Y
IDCJAC0002,083024,2006,12,16.7,Y
IDCJAC0002,083024,2007,01,19,Y
IDCJAC0002,083024,2007,02,20.3,Y
IDCJAC0002,083024,2007,03,15.3,Y
IDCJAC0002,083024,2007,04,11.2,Y
IDCJAC0002,083024,2007,05,6.8,Y
IDCJAC0002,083024,2007,06,2.8,Y
IDCJAC0002,083024,2007,07,0,Y
IDCJAC0002,083024,2007,08,3.4,Y
IDCJAC0002,083024,2007,09,5.4,Y
IDCJAC0002,083024,2007,10,9.6,Y
IDCJAC0002,083024,2007,11,14.6,Y
IDCJAC0002,083024,2007,12,14.4,Y
IDCJAC0002,083024,2008,01,19,Y
IDCJAC0002,083024,2008,02,14.4,Y
IDCJAC0002,083024,2008,03,15.5,Y
IDCJAC0002,083024,2008,04,8.6,Y
IDCJAC0002,083024,2008,05,6.1,Y
IDCJAC0002,083024,2008,06,4.5,Y
IDCJAC0002,083024,2008,07,0,Y
IDCJAC0002,083024,2008,08,0.2,Y
IDCJAC0002,083024,2008,09,5.3,Y
IDCJAC0002,083024,2008,10,11,Y
IDCJAC0002,083024,2008,11,11.2,Y
IDCJAC0002,083024,2008,12,12,Y
IDCJAC0002,083024,2009,01,19.6,Y
IDCJAC0002,083024,2009,02,19.1,Y
IDCJAC0002,083024,2009,03,14.5,Y
IDCJAC0002,083024,2009,04,8.8,Y
IDCJAC0002,083024,2009,05,6.4,Y
IDCJAC0002,083024,2009,06,2.5,Y
IDCJAC0002,083024,2009,07,0.4,Y
IDCJAC0002,083024,2009,08,1.9,Y
IDCJAC0002,083024,2009,09,5.2,Y
IDCJAC0002,083024,2009,10,7.9,Y
IDCJAC0002,083024,2009,11,16.8,Y
IDCJAC0002,083024,2009,12,15.7,Y
IDCJAC0002,083024,2010,01,18.5,Y
IDCJAC0002,083024,2010,02,18,Y
IDCJAC0002,083024,2010,03,14.5,Y
IDCJAC0002,083024,2010,04,10.5,Y
IDCJAC0002,083024,2010,05,6.1,Y
IDCJAC0002,083024,2010,06,3.2,Y
IDCJAC0002,083024,2010,07,1.9,Y
IDCJAC0002,083024,2010,08,-0.3,Y
IDCJAC0002,083024,2010,09,2.8,Y
IDCJAC0002,083024,2010,10,7.9,Y
IDCJAC0002,083024,2010,11,11.4,Y
IDCJAC0002,083024,2010,12,12,Y
IDCJAC0002,083024,2011,01,17.2,Y
IDCJAC0002,083024,2011,02,15.1,Y
IDCJAC0002,083024,2011,03,12.3,Y
IDCJAC0002,083024,2011,04,8.6,Y
IDCJAC0002,083024,2011,05,4.6,Y
IDCJAC0002,083024,2011,06,1.9,Y
IDCJAC0002,083024,2011,07,0.4,Y
IDCJAC0002,083024,2011,08,4.4,Y
IDCJAC0002,083024,2011,09,5,Y
IDCJAC0002,083024,2011,10,6.7,Y
IDCJAC0002,083024,2011,11,13.5,Y
IDCJAC0002,083024,2011,12,13.5,Y
IDCJAC0002,083024,2012,01,16.4,Y
IDCJAC0002,083024,2012,02,15.4,Y
IDCJAC0002,083024,2012,03,11.6,Y
IDCJAC0002,083024,2012,04,9.7,Y
IDCJAC0002,083024,2012,05,4.7,Y
IDCJAC0002,083024,2012,06,2.4,Y
IDCJAC0002,083024,2012,07,0.7,Y
IDCJAC0002,083024,2012,08,0.1,Y
IDCJAC0002,083024,2012,09,4.9,Y
IDCJAC0002,083024,2012,10,9.3,Y
IDCJAC0002,083024,2012,11,15.2,Y
IDCJAC0002,083024,2012,12,14.6,Y
IDCJAC0002,083024,2013,01,20.6,Y
IDCJAC0002,083024,2013,02,19.1,Y
IDCJAC0002,083024,2013,03,14.8,Y
IDCJAC0002,083024,2013,04,9.3,Y
IDCJAC0002,083024,2013,05,5.8,Y
IDCJAC0002,083024,2013,06,4.2,Y
IDCJAC0002,083024,2013,07,2.1,Y
IDCJAC0002,083024,2013,08,1.7,Y
IDCJAC0002,083024,2013,09,7.4,Y
IDCJAC0002,083024,2013,10,8.7,Y
IDCJAC0002,083024,2013,11,11.6,Y
IDCJAC0002,083024,2013,12,15.4,Y
IDCJAC0002,083024,2014,01,19.4,Y
IDCJAC0002,083024,2014,02,19.6,Y
IDCJAC0002,083024,2014,03,15,Y
IDCJAC0002,083024,2014,04,9.7,Y
IDCJAC0002,083024,2014,05,6.3,Y
IDCJAC0002,083024,2014,06,3.6,Y
IDCJAC0002,083024,2014,07,0.9,Y
IDCJAC0002,083024,2014,08,3.4,Y
IDCJAC0002,083024,2014,09,6.4,Y
IDCJAC0002,083024,2014,10,11.6,Y
IDCJAC0002,083024,2014,11,14.3,Y
IDCJAC0002,083024,2014,12,15.3,Y
IDCJAC0002,083024,2015,01,16.1,Y
IDCJAC0002,083024,2015,02,18.8,Y
IDCJAC0002,083024,2015,03,12.8,Y
IDCJAC0002,083024,2015,04,8.9,Y
IDCJAC0002,083024,2015,05,5.3,Y
IDCJAC0002,083024,2015,06,4.4,Y
IDCJAC0002,083024,2015,07,-0.1,Y
IDCJAC0002,083024,2015,08,1.1,Y
IDCJAC0002,083024,2015,09,5.6,Y
IDCJAC0002,083024,2015,10,14.5,Y
IDCJAC0002,083024,2015,11,13.7,Y
IDCJAC0002,083024,2015,12,17.6,Y
IDCJAC0002,083024,2016,01,17.4,Y
IDCJAC0002,083024,2016,02,18.4,Y
IDCJAC0002,083024,2016,03,17,Y
IDCJAC0002,083024,2016,04,12.2,Y
IDCJAC0002,083024,2016,05,5.5,Y
IDCJAC0002,083024,2016,06,3.1,Y
IDCJAC0002,083024,2016,07,1.7,Y
IDCJAC0002,083024,2016,08,1.7,Y
IDCJAC0002,083024,2016,09,4.6,Y
IDCJAC0002,083024,2016,10,6.3,Y
IDCJAC0002,083024,2016,11,11.8,Y
IDCJAC0002,083024,2016,12,15.8,Y
IDCJAC0002,083024,2017,01,18.4,Y
IDCJAC0002,083024,2017,02,16,Y
IDCJAC0002,083024,2017,03,16.9,Y
IDCJAC0002,083024,2017,04,9.8,Y
IDCJAC0002,083024,2017,05,5.7,Y
IDCJAC0002,083024,2017,06,4,Y
IDCJAC0002,083024,2017,07,0.5,Y
IDCJAC0002,083024,2017,08,0.8,Y
IDCJAC0002,083024,2017,09,3.7,Y
IDCJAC0002,083024,2017,10,9.9,Y
IDCJAC0002,083024,2017,11,14.7,Y
IDCJAC0002,083024,2017,12,15.4,Y
IDCJAC0002,083024,2018,01,19.2,Y
IDCJAC0002,083024,2018,02,17.2,Y
IDCJAC0002,083024,2018,03,15.2,Y
IDCJAC0002,083024,2018,04,13.3,Y
IDCJAC0002,083024,2018,05,6.4,Y
IDCJAC0002,083024,2018,06,2.2,Y
IDCJAC0002,083024,2018,07,0.8,Y
IDCJAC0002,083024,2018,08,0.5,Y
IDCJAC0002,083024,2018,09,4,Y
IDCJAC0002,083024,2018,10,10.9,Y
IDCJAC0002,083024,2018,11,10.9,Y
IDCJAC0002,083024,2018,12,17,Y
IDCJAC0002,083024,2019,01,22.3,Y
IDCJAC0002,083024,2019,02,17.6,Y
IDCJAC0002,083024,2019,03,14.7,Y
IDCJAC0002,083024,2019,04,11.3,Y
IDCJAC0002,083024,2019,05,5.6,Y
IDCJAC0002,083024,2019,06,3,Y
IDCJAC0002,083024,2019,07,2,Y
IDCJAC0002,083024,2019,08,2,Y
IDCJAC0002,083024,2019,09,4.7,Y
IDCJAC0002,083024,2019,10,10.4,Y
IDCJAC0002,083024,2019,11,10.9,Y
IDCJAC0002,083024,2019,12,17.3,Y
IDCJAC0002,083024,2020,01,18.7,Y
IDCJAC0002,083024,2020,02,16.2,Y
IDCJAC0002,083024,2020,03,13,Y
IDCJAC0002,083024,2020,04,8.2,Y
IDCJAC0002,083024,2020,05,3.8,Y
IDCJAC0002,083024,2020,06,3.3,Y
IDCJAC0002,083024,2020,07,3.6,Y
IDCJAC0002,083024,2020,08,1.7,Y
IDCJAC0002,083024,2020,09,6.1,Y
IDCJAC0002,083024,2020,10,9.8,Y
IDCJAC0002,083024,2020,11,15.3,Y
IDCJAC0002,083024,2020,12,14.2,Y
IDCJAC0002,083024,2021,01,17,Y
IDCJAC0002,083024,2021,02,15.3,Y
IDCJAC0002,083024,2021,03,12.3,Y
IDCJAC0002,083024,2021,04,9.1,Y
IDCJAC0002,083024,2021,05,6,Y
IDCJAC0002,083024,2021,06,2.9,Y
IDCJAC0002,083024,2021,07,0.6,Y
IDCJAC0002,083024,2021,08,1.6,Y
IDCJAC0002,083024,2021,09,5.8,Y
IDCJAC0002,083024,2021,10,7.5,Y
IDCJAC0002,083024,2021,11,10.3,Y
IDCJAC0002,083024,2021,12,15.2,Y
IDCJAC0002,083024,2022,01,18.3,Y
IDCJAC0002,083024,2022,02,16,Y
IDCJAC0002,083024,2022,03,14.6,Y
IDCJAC0002,083024,2022,04,9.7,Y
IDCJAC0002,083024,2022,05,5.1,Y
IDCJAC0002,083024,2022,06,0.8,Y
IDCJAC0002,083024,2022,07,2,Y
IDCJAC0002,083024,2022,08,2.5,Y
IDCJAC0002,083024,2022,09,3.6,Y
IDCJAC0002,083024,2022,10,7.8,Y
IDCJAC0002,083024,2022,11,8.2,Y
IDCJAC0002,083024,2022,12,12.7,Y
IDCJAC0002,083024,2023,01,17.3,Y
IDCJAC0002,083024,2023,02,16.4,Y
IDCJAC0002,083024,2023,03,13.6,Y
IDCJAC0002,083024,2023,04,9.4,Y
IDCJAC0002,083024,2023,05,4.2,Y
IDCJAC0002,083024,2023,06,2,Y
IDCJAC0002,083024,2023,07,3.1,Y
IDCJAC0002,083024,2023,08,4.7,Y
IDCJAC0002,083024,2023,09,9.2,Y
IDCJAC0002,083024,2023,10,8.2,Y
IDCJAC0002,083024,2023,11,14,Y
IDCJAC0002,083024,2023,12,15.6,Y
IDCJAC0002,083024,2024,01,16.8,Y
IDCJAC0002,083024,2024,02,18.1,Y
IDCJAC0002,083024,2024,03,16.9,Y
IDCJAC0002,083024,2024,04,9.7,Y
IDCJAC0002,083024,2024,05,8.5,Y
IDCJAC0002,083024,2024,06,2.9,Y
IDCJAC0002,083024,2024,07,1.6,Y
IDCJAC0002,083024,2024,08,4.1,Y
IDCJAC0002,083024,2024,09,5.5,Y
IDCJAC0002,083024,2024,10,10.9,Y
IDCJAC0002,083024,2024,11,14.4,Y
