Product code,Bureau of Meteorology station number,Year,Month,min_t_(C),Quality
IDCJAC0004,083024,1985,03,8.4,Y
IDCJAC0004,083024,1985,04,4.3,Y
IDCJAC0004,083024,1985,05,0.8,Y
IDCJAC0004,083024,1985,06,-3.2,Y
IDCJAC0004,083024,1985,07,-3.6,Y
IDCJAC0004,083024,1985,08,-3.2,Y
IDCJAC0004,083024,1985,09,-1.3,Y
IDCJAC0004,083024,1985,10,1.7,Y
IDCJAC0004,083024,1985,11,3.8,Y
IDCJAC0004,083024,1985,12,4,Y
IDCJAC0004,083024,1986,01,4.9,Y
IDCJAC0004,083024,1986,02,5.9,Y
IDCJAC0004,083024,1986,03,8.2,Y
IDCJAC0004,083024,1986,04,2.8,Y
IDCJAC0004,083024,1986,05,1.2,Y
IDCJAC0004,083024,1986,06,-2.6,Y
IDCJAC0004,083024,1986,07,-4,Y
IDCJAC0004,083024,1986,08,-2.6,Y
IDCJAC0004,083024,1986,09,-1,Y
IDCJAC0004,083024,1986,10,-0.8,Y
IDCJAC0004,083024,1986,11,3.5,Y
IDCJAC0004,083024,1986,12,3.3,Y
IDCJAC0004,083024,1987,01,4.4,Y
IDCJAC0004,083024,1987,02,6.8,Y
IDCJAC0004,083024,1987,03,4.1,Y
IDCJAC0004,083024,1987,04,4.2,Y
IDCJAC0004,083024,1987,05,0.2,Y
IDCJAC0004,083024,1987,06,-0.5,Y
IDCJAC0004,083024,1987,07,-3.8,Y
IDCJAC0004,083024,1987,08,-1.5,Y
IDCJAC0004,083024,1987,09,-0.5,Y
IDCJAC0004,083024,1987,10,1,Y
IDCJAC0004,083024,1987,11,3.6,Y
IDCJAC0004,083024,1987,12,5.2,Y
IDCJAC0004,083024,1988,01,10.7,Y
IDCJAC0004,083024,1988,02,6.9,Y
IDCJAC0004,083024,1988,03,6.7,Y
IDCJAC0004,083024,1988,04,4.8,Y
IDCJAC0004,083024,1988,05,2.6,Y
IDCJAC0004,083024,1988,06,-1.2,Y
IDCJAC0004,083024,1988,07,-1.8,Y
IDCJAC0004,083024,1988,08,-3.3,Y
IDCJAC0004,083024,1988,09,-0.5,Y
IDCJAC0004,083024,1988,10,-1.1,Y
IDCJAC0004,083024,1988,11,2.4,Y
IDCJAC0004,083024,1988,12,6.7,Y
IDCJAC0004,083024,1989,01,6.7,Y
