Date,Collected?,Depth_type,Depth_(cm),,
5/6/1993,Yes,Natural,0,,
6/6/1993,Yes,Natural,0,,
7/6/1993,Yes,Natural,0,,
8/6/1993,Yes,Natural,0,,
9/6/1993,Yes,Natural,0,,
10/6/1993,Yes,Natural,0,,
11/6/1993,Yes,Natural,0,,
12/6/1993,Yes,Natural,29,,
13/6/1993,Yes,Natural,44,,
14/6/1993,Yes,Natural,44,,
15/6/1993,Yes,Natural,39,,
16/6/1993,Yes,Natural,37,,
17/6/1993,Yes,Natural,35,,
18/6/1993,Yes,Natural,35,,
19/6/1993,Yes,Natural,35,,
20/6/1993,Yes,Natural,37,,
21/6/1993,Yes,Natural,33,,
22/6/1993,Yes,Natural,30,,
23/6/1993,Yes,Natural,33,,
24/6/1993,Yes,Natural,33,,
25/6/1993,Yes,Natural,33,,
26/6/1993,Yes,Natural,33,,
27/6/1993,Yes,Natural,32,,
28/6/1993,Yes,Natural,32,,
29/6/1993,Yes,Natural,31,,
30/6/1993,Yes,Natural,30,,
1/7/1993,Yes,Natural,30,,
2/7/1993,Yes,Natural,26,,
3/7/1993,Yes,Natural,25,,
4/7/1993,Yes,Natural,26,,
5/7/1993,Yes,Natural,15,,
6/7/1993,Yes,Natural,15,,
7/7/1993,Yes,Natural,15,,
8/7/1993,Yes,Natural,10,,
9/7/1993,Yes,Natural,10,,
10/7/1993,Yes,Natural,17,,
11/7/1993,Yes,Natural,17,,
12/7/1993,Yes,Natural,17,,
13/7/1993,Yes,Natural,16,,
14/7/1993,Yes,Natural,15,,
15/7/1993,Yes,Natural,15,,
16/7/1993,Yes,Natural,15,,
17/7/1993,Yes,Natural,13,,
18/7/1993,Yes,Natural,13,,
19/7/1993,Yes,Natural,13,,
20/7/1993,Yes,Natural,13,,
21/7/1993,Yes,Natural,13,,
22/7/1993,Yes,Natural,13,,
23/7/1993,Yes,Natural,13,,
24/7/1993,Yes,Natural,13,,
25/7/1993,Yes,Natural,12,,
26/7/1993,Yes,Natural,13,,
27/7/1993,Yes,Natural,13,,
28/7/1993,Yes,Natural,13,,
29/7/1993,Yes,Natural,13,,
30/7/1993,Yes,Natural,12,,
31/7/1993,Yes,Natural,12,,
1/8/1993,Yes,Natural,12,,
2/8/1993,Yes,Natural,19,,
3/8/1993,Yes,Natural,21,,
4/8/1993,Yes,Natural,21,,
5/8/1993,Yes,Natural,21,,
6/8/1993,Yes,Natural,21,,
7/8/1993,Yes,Natural,21,,
8/8/1993,Yes,Natural,21,,
9/8/1993,Yes,Natural,21,,
10/8/1993,Yes,Natural,25,,
11/8/1993,Yes,Natural,34,,
12/8/1993,Yes,Natural,34,,
13/8/1993,Yes,Natural,32,,
14/8/1993,Yes,Natural,22,,
15/8/1993,Yes,Natural,19,,
16/8/1993,Yes,Natural,23,,
17/8/1993,Yes,Natural,22,,
18/8/1993,Yes,Natural,21,,
19/8/1993,Yes,Natural,20,,
20/8/1993,Yes,Natural,20,,
21/8/1993,Yes,Natural,18,,
22/8/1993,Yes,Natural,18,,
23/8/1993,Yes,Natural,18,,
24/8/1993,Yes,Natural,18,,
25/8/1993,Yes,Natural,18,,
26/8/1993,Yes,Natural,18,,
27/8/1993,Yes,Natural,18,,
28/8/1993,Yes,Natural,18,,
29/8/1993,Yes,Natural,18,,
30/8/1993,Yes,Natural,18,,
31/8/1993,Yes,Natural,17,,
1/9/1993,Yes,Natural,12,,
2/9/1993,Yes,Natural,8,,
3/9/1993,Yes,Natural,12,,
4/9/1993,Yes,Natural,12,,
5/9/1993,Yes,Natural,12,,
6/9/1993,Yes,Natural,12,,
